"","dayOfWeek","dayOfMonth","month","year","reports","temp","dewp","slp","visib","wdsp","mxpsd","max","min","prcp","sndp"
"2132",7,4,11,2006,1172,41,23.4,1028.2,10,8.5,15.9,48,34,0,0
"2133",1,5,11,2006,1086,47.1,30.7,1025,10,6.5,12,54,39,0,0
"2134",2,6,11,2006,1309,50.7,38.9,1022,9,7.9,12,55.9,46,0,0
"2135",3,7,11,2006,1238,52.7,45.7,1013.9,5.6,1,7,57,50,0.02,0
"2136",4,8,11,2006,1229,54.6,47.2,1004.5,6.5,6.7,13,64.9,46.4,0,0
"2137",5,9,11,2006,1267,58.1,44.5,1003.7,9.6,8.1,13,71.1,50,0,0
"2138",6,10,11,2006,1226,48.7,40,1012.4,9.4,12.3,25.1,55.9,44.1,0,0
"2139",7,11,11,2006,1167,40.6,33.6,1017.1,8.3,14.6,22,44.6,37,0.77,0
"2140",1,12,11,2006,1069,41,29.7,1025.9,10,4.4,12,46,36,0.03,0
"2141",2,13,11,2006,1097,39.3,32.7,1018.8,7.6,8,13,44.6,37,0,0
"2142",3,14,11,2006,1156,43.6,36.5,1013.3,7.4,4.5,8,46.9,39.9,0,0
"2143",4,15,11,2006,1201,46,40.3,1009.3,5.1,10.9,22,48.9,44.1,0.05,0
"2144",5,16,11,2006,1238,43.9,35,1004.5,9.7,19.6,28,46,41,0.02,0
"2145",6,17,11,2006,1360,39.3,27.6,1013,9.8,7.8,14,42.1,36,0.01,0
"2146",7,18,11,2006,1189,40.6,31.3,1018.9,6.7,3.1,11.1,45,35.1,0,0
"2147",1,19,11,2006,972,40.7,29.5,1024.4,9.7,10.9,15.9,45,36,0,0
"2148",2,20,11,2006,1147,36.9,24.2,1027.9,10,5.3,12,46,28.9,0,0
"2149",3,21,11,2006,1230,40.3,28.9,1029.2,10,7.8,14,50,34,0,0
"2150",4,22,11,2006,1182,43.3,27,1027.1,10,7.2,11.1,55,35.1,0,0
"2151",5,23,11,2006,913,45.9,26.3,1025.2,10,3,6,59,36,0,0
"2152",6,24,11,2006,1067,48.9,28.1,1021.5,10,6.9,13,62.1,39,0,0
"2153",7,25,11,2006,1261,52.2,36.3,1018,10,6.1,9.9,61,44.1,0,0
"2154",1,26,11,2006,1233,56.5,48.7,1019.6,8.4,6.1,8.9,63,50,0,0
"2155",2,27,11,2006,1185,58.1,49.5,1019.9,8.4,7.4,11.1,63,55,0,0
"2156",3,28,11,2006,1287,59.4,47.6,1015.5,9.8,11.7,18.1,64,55.9,0,0
"2157",4,29,11,2006,1105,60.3,54.5,1012.8,7.9,10.4,19,63,57.2,0,0
"2158",5,30,11,2006,1085,37.1,31.3,1017.9,7.5,10.8,15,48.2,28.9,1.49,0
"2159",6,1,12,2006,1205,32.6,27.7,1012.5,5.2,16.3,26,36,28,0.68,2
"2160",7,2,12,2006,968,23.3,16.1,1027,10,9.2,15,30.9,17.1,0.62,2
"2161",1,3,12,2006,798,16.7,7,1033.4,10,10.2,15.9,26.1,12.9,0,2
"2162",2,4,12,2006,984,17,9,1028.5,10,10.4,18.1,27,9,0,2
"2163",3,5,12,2006,1007,18.6,7.7,1026.2,10,9.8,17.1,28,10.9,0,2
"2164",4,6,12,2006,1068,34,23.6,1014.8,10,12.2,17.1,37,28,0,2
"2165",5,7,12,2006,990,17.9,4.7,1031.1,9.6,14.2,19,30.9,10.9,0,1.2
"2166",6,8,12,2006,1069,14.6,2.8,1036.3,10,9.5,15,21.9,7,0,1.2
"2167",7,9,12,2006,1032,27.6,14.4,1025.6,10,12.2,18.1,37,21.9,0,1.2
"2168",1,10,12,2006,1091,38,22.9,1022.5,10,11.6,15.9,43,33.1,0,1.2
"2169",2,11,12,2006,1106,43.3,32,1024.2,8.6,8.7,14,46.4,42.1,0,0
"2170",3,12,12,2006,1322,50,45.7,1017.5,5.2,10,15.9,52,44.6,0.18,0
"2171",4,13,12,2006,1274,42.2,34.2,1015.1,8.3,11.9,18.1,51.8,35.6,0.16,0
"2172",5,14,12,2006,1327,45.3,36.4,1008.2,10,9.1,15,53.1,39.9,0,0
"2173",6,15,12,2006,1401,44.3,30.9,1008.1,10,10.8,15,51.1,39,0.04,0
"2174",7,16,12,2006,1214,42.1,33.8,1014.4,9.4,9,15,54,36,0,0
"2175",1,17,12,2006,1050,52.2,37.5,1016.4,8.1,6.4,14,57.9,48,0.01,0
"2176",2,18,12,2006,1210,41.6,24.4,1026.1,10,6.6,9.9,48.9,35.1,0,0
"2177",3,19,12,2006,1155,35.4,19.8,1031.8,10,4.5,8,45,27,0,0
"2178",4,20,12,2006,1244,34.9,24.1,1027.9,9.3,4.5,7,42.1,28.9,0,0
"2179",5,21,12,2006,1194,42.3,40,1022.5,3,7.7,12,51.1,39,0.35,0
"2180",6,22,12,2006,1258,52.5,48.9,1008.3,5,9,19,55.9,46,0.65,0
"2181",7,23,12,2006,1115,40.7,33.6,1013.2,9.3,15,21,44.6,39,0.45,0
"2182",1,24,12,2006,880,37.6,29.6,1022,8.8,6.8,14,45,30.9,0,0
"2183",2,25,12,2006,705,37.8,33,1015.9,5.1,5.5,15,43,33.1,0,0
"2184",3,26,12,2006,994,35.1,26.2,1012.3,9.4,11.2,15.9,39,33.1,0,0
"2185",4,27,12,2006,1143,34.3,24.9,1016.6,10,7.4,9.9,39.9,30.9,0,0
"2186",5,28,12,2006,1118,42.4,30.8,1020.9,10,7.2,11.1,50,39,0,0
"2187",6,29,12,2006,1083,46.7,36.7,1029.3,9.5,3.9,7,55.9,42.1,0,0
"2188",7,30,12,2006,1187,50.6,42.2,1028.8,7.1,4.5,8.9,54,48,0,0
"2189",1,31,12,2006,953,51,43.2,1014.9,6.8,11.3,19,59,46,0.02,0
"2190",2,1,1,2007,1968,42.8,32.5,1010.7,10,12.7,21,53.1,36,0.19,0
"2191",3,2,1,2007,1029,36.3,25.4,1027.5,10,5.8,12,44.1,30,0,0
"2192",4,3,1,2007,1123,40.3,29.5,1021.3,10,10.4,15.9,50,35.1,0,0
"2193",5,4,1,2007,1038,43.8,36,1012,8.9,14.1,20,50,39.9,0,0
"2194",6,5,1,2007,1319,49.7,45.4,1004.2,8,8,17.1,53.1,45,1.39,0
"2195",7,6,1,2007,1079,42.5,35.3,1012.1,7.3,8.4,14,50,37.4,0.05,0
"2196",1,7,1,2007,1012,37.7,32,1019.6,7.9,6.2,8.9,42.1,32,0.03,0
"2197",2,8,1,2007,1059,36,25.1,1010.5,9.5,12.8,20,41,30,0.05,0
"2198",3,9,1,2007,1126,33.7,18.5,1016,10,13.4,22.9,39,30,0,0
"2199",4,10,1,2007,1182,26.8,13,1027.1,10,9.3,21,33.1,21,0,0
"2200",5,11,1,2007,1178,40.3,22.9,1017,10,16.6,20,46.4,33.1,0,0
"2201",6,12,1,2007,1279,47.9,41.5,1017.2,8,9.1,17.1,51.8,39.2,0,0
"2202",7,13,1,2007,1123,35.4,28.6,1026.8,9.2,12.2,17.1,39.9,33.1,0.04,0
"2203",1,14,1,2007,991,35.1,28,1025,9.1,9.4,15.9,37.4,33.8,0.14,0
"2204",2,15,1,2007,948,34,30.4,1016.2,4.8,10.4,15,37,28,0.51,1.2
"2205",3,16,1,2007,1075,22.9,13.4,1031.1,7.9,11.2,15,28.4,17.1,0.16,1.2
"2206",4,17,1,2007,1018,17.8,8.6,1038.9,9.8,7.3,13,24.1,12.9,0,0
"2207",5,18,1,2007,1122,28.9,20.7,1023.4,8.3,9.5,15,33.1,23,0,0
"2208",6,19,1,2007,1176,28.3,17.1,1022.4,8.3,12.8,21,34,23,0,0
"2209",7,20,1,2007,1119,23.1,10.1,1029.2,10,6,11.1,30.9,15.1,0,0
"2210",1,21,1,2007,891,29.6,21.5,1023.1,5.5,7.2,13,32,28,0.01,1.2
"2211",2,22,1,2007,1054,32.1,24.7,1016.8,6.7,6.5,12,34,28.9,0.03,1.2
"2212",3,23,1,2007,1011,28.3,19.7,1015.1,7.1,12.3,18.1,30.2,26.6,0,1.2
"2213",4,24,1,2007,1055,27.2,16.9,1019.3,8.2,7.7,11.1,30,26.1,0,0
"2214",5,25,1,2007,1114,23.6,10.9,1024.9,9.2,10.1,14,28.4,19,0,0
"2215",6,26,1,2007,1167,27.9,19,1019.3,9.2,10.2,18.1,44.1,19.4,0,0
"2216",7,27,1,2007,1096,32.2,25.2,1008.8,8.7,10.7,17.1,43,26.1,0,0
"2217",1,28,1,2007,865,16.5,8.8,1015.4,7.2,12.9,17.1,26.6,8.1,0,0
"2218",2,29,1,2007,961,16.7,8.3,1018.3,8.8,9.5,17.1,25,10.9,0,0
"2219",3,30,1,2007,1010,16.1,8.5,1017.5,7.5,12,17.1,25,8.6,0,0
"2220",4,31,1,2007,940,11.1,2.3,1022.9,10,9.6,12,19.9,3.9,0,0
"2221",5,1,2,2007,1179,21.6,14.3,1011.4,7.1,11.1,14,26.6,19.4,0,0
"2222",6,2,2,2007,1055,11.6,2.1,1010.5,9.9,11.4,18.1,24.1,8.1,0,0
"2223",7,3,2,2007,880,7.6,-4.7,1015.1,9.9,14.8,25.1,12,0,0,0
"2224",1,4,2,2007,754,-1.6,-14.3,1026.6,10,14.1,18.1,3.9,-5.1,0,0
"2225",2,5,2,2007,836,-2.4,-17,1035.5,10,11,14,7,-9,0,0
"2226",3,6,2,2007,849,1.6,-8,1032.1,6.7,4.5,11.1,10,-4,0,2
"2227",4,7,2,2007,968,6.4,-3,1026.7,9.4,8.9,13,12,0,0.08,1.2
"2228",5,8,2,2007,941,3.8,-8.4,1028.1,10,10.2,14,12,-2.9,0,1.2
"2229",6,9,2,2007,1022,9.1,-5.3,1027.8,10,8.7,14,19,1.9,0,1.2
"2230",7,10,2,2007,942,7.5,-3.9,1027.1,10,9.7,12,14,0,0,1.2
"2231",1,11,2,2007,849,14,3.6,1025,10,8.6,12,27,6.1,0,1.2
"2232",2,12,2,2007,899,28.1,23.5,1023.3,4.2,6.8,15.9,30.9,24.8,0.07,2
"2233",3,13,2,2007,774,23.7,19.6,1023.2,2.8,19.5,26,30.2,19,0.02,5.9
"2234",4,14,2,2007,827,17.7,11.6,1024.7,4,14.1,25.1,21.9,12,0.05,9.8
"2235",5,15,2,2007,945,9.7,-1.2,1026.2,10,9.6,13,16,3,0,9.1
"2236",6,16,2,2007,1004,5.7,-3.5,1020,10,11,18.1,12.9,-4,0,7.9
"2237",7,17,2,2007,907,20.8,14.4,1011.3,5.9,9.2,14,27,12,0.02,9.1
"2238",1,18,2,2007,814,19.1,4.9,1020.2,10,8.8,14,24.1,15.1,0.05,7.9
"2239",2,19,2,2007,962,27,16.6,1011.4,9.8,11.8,18.1,43,15.1,0,5.1
"2240",3,20,2,2007,1166,37.9,29.9,1005.5,7.1,5.4,13,46.9,30,0,1.2
"2241",4,21,2,2007,1165,34.6,30,1010.9,5.6,5.9,13,48,24.1,0,1.2
"2242",5,22,2,2007,1100,36.5,26.5,1015.3,9.4,13.7,21,42.1,33.1,0,0
"2243",6,23,2,2007,1300,29.2,20.1,1028.9,10,8.5,15,34,27,0,0
"2244",7,24,2,2007,990,28.9,14.1,1022.8,9.7,14.8,19,32,26.1,0,0
"2245",1,25,2,2007,860,34.4,32.9,1001,5.3,13.2,21,39.2,28.4,0.59,1.2
"2246",2,26,2,2007,955,30.9,29.2,1003.4,3.9,12.1,15,32,30,0.28,1.2
"2247",3,27,2,2007,1092,30.4,25.2,1015.5,7.3,8.3,11.1,32,28.4,0,1.2
"2248",4,28,2,2007,1102,32.3,24.3,1019.3,8.7,7.2,21,36,28.9,0,1.2
"2249",5,1,3,2007,1231,38,34.5,1002.4,5.6,12.6,19,48.2,33.8,0.11,1.2
"2250",6,2,3,2007,1190,31.8,25,989.3,4.9,18.6,28.9,45,28,0.26,1.2
"2251",7,3,3,2007,1137,25.4,16.8,1005.7,7.6,14.5,25.1,28.9,21.2,0.01,1.2
"2252",1,4,3,2007,1000,23.3,12.4,1019.9,10,11.8,18.1,32,15.1,0,1.2
"2253",2,5,3,2007,960,29.2,18.7,1023.8,10,11.6,15.9,33.1,24.1,0,0
"2254",3,6,3,2007,969,20.6,6.5,1034.6,9.3,8.6,13,24.1,15.1,0,0
"2255",4,7,3,2007,1093,25.8,19.1,1026.6,6.8,8.3,14,28.4,21.2,0.02,0
"2256",5,8,3,2007,1128,27.7,19,1026.8,9.5,3.8,8,39,19,0.01,0
"2257",6,9,3,2007,1251,40.6,27.9,1018.2,9.3,7.1,12,57,30.9,0,0
"2258",7,10,3,2007,1224,44.7,34.1,1019.8,5.7,10,15,53.1,33.1,0.17,0
"2259",1,11,3,2007,1093,41.2,26.3,1030,10,4,9.9,54,28.9,0,0
"2260",2,12,3,2007,1271,48.3,31.8,1022.1,10,8.9,17.1,63,39,0,0
"2261",3,13,3,2007,1283,59.1,47.4,1013.4,9.5,9.8,20,73.9,48,0,0
"2262",4,14,3,2007,1163,58.2,48.9,1009.9,8.5,10.8,21,71.1,42.1,0,0
"2263",5,15,3,2007,1182,36.1,28,1022.8,9.1,15.4,25.1,41,32,0.18,0
"2264",6,16,3,2007,1267,32.4,21.7,1025.7,10,10.1,15.9,39,26.1,0,0
"2265",7,17,3,2007,1106,30.6,18.7,1025.4,10,9.3,14,37.9,25,0,0
"2266",1,18,3,2007,1087,34,17.5,1025.2,10,3.8,9.9,46.9,24.1,0,0
"2267",2,19,3,2007,1136,45.5,29.9,1015.2,9.5,12,19,61,36,0.36,0
"2268",3,20,3,2007,1196,38.9,24.1,1029.6,10,11.1,17.1,57,30.9,0,0
"2269",4,21,3,2007,1148,48.1,42.7,1023.9,5.9,10.2,14,70,37,0.39,0
"2270",5,22,3,2007,1232,61.7,47.4,1013.7,9.8,13.4,22,68,51.1,0.32,0
"2271",6,23,3,2007,1272,47.7,41.9,1018.8,6.9,6.2,8.9,52,45,0.17,0
"2272",7,24,3,2007,1209,55.2,53.6,1021.5,2.9,5.6,8.9,64,48.9,0.05,0
"2273",1,25,3,2007,1211,62.8,54.6,1020.8,6.7,8.8,19,78.1,50,0,0
"2274",2,26,3,2007,1231,71,57.7,1014.5,10,12.2,17.1,78.1,66,0,0
"2275",3,27,3,2007,1214,63.4,54.4,1017.2,9.5,8.1,14,73.9,46,0,0
"2276",4,28,3,2007,1177,47.1,44.4,1022.3,6,10.4,17.1,52,44.1,0.26,0
"2277",5,29,3,2007,1245,50.8,32.4,1027.2,9.8,10.5,14,62.1,46.4,0.06,0
"2278",6,30,3,2007,1241,51.3,33.6,1025.6,10,6.9,11.1,55.9,46.9,0,0
"2279",7,31,3,2007,1205,52.9,42.2,1015.5,8.8,8.5,14,64,45,0,0
"2280",1,1,4,2007,1269,54.6,46.8,1004.6,9.5,14.4,22.9,62.1,48.9,0.47,0
"2281",2,2,4,2007,1190,50,39.2,1012.8,10,11.1,19,63,42.1,0.03,0
"2282",3,3,4,2007,1188,58,46.4,1009.1,9.5,8,15.9,69.1,48,0,0
"2283",4,4,4,2007,1051,34.7,24.1,1014.5,9.8,18,22.9,61,28,0.07,0
"2284",5,5,4,2007,1058,31.9,14.1,1021.4,10,15,20,39.9,27,0,0
"2285",6,6,4,2007,1097,30.8,8.5,1018.6,10,11.9,17.1,37,24.1,0,0
"2286",7,7,4,2007,1025,27.4,7.3,1016.5,10,13.1,17.1,33.1,21.9,0,0
"2287",1,8,4,2007,982,32.1,16.6,1018.9,10,7.5,12,39.9,27,0,0
"2288",2,9,4,2007,1133,37.1,23.3,1019.2,10,5.2,9.9,42.1,34,0,0
"2289",3,10,4,2007,1186,39.5,24.6,1017.5,9.5,8.2,19,51.1,30,0,0
"2290",4,11,4,2007,1073,38,32.9,1005.1,4.3,14.4,21,46.9,32,0.29,1.2
"2291",5,12,4,2007,1166,36.3,33.3,1002.6,6,9.8,15,39,33.1,0.67,1.2
"2292",6,13,4,2007,1323,40.7,25.5,1021.5,10,8.7,15,52,30.9,0.03,0
"2293",7,14,4,2007,1243,43.4,21.8,1017.6,10,7.7,15.9,46.9,41,0,0
"2294",1,15,4,2007,1229,43.3,20.6,1014.2,10,6.4,15.9,55.9,30.9,0,0
"2295",2,16,4,2007,1206,46.6,22.5,1017.8,10,7.2,12,62.1,34,0,0
"2296",3,17,4,2007,1294,51.5,28,1014.5,9.9,6.8,19,72,39.9,0,0
"2297",4,18,4,2007,1169,44.4,32.9,1014.1,10,11.6,15.9,51.1,39,0,0
"2298",5,19,4,2007,1196,47.4,37.8,1018.1,9.8,10.1,15,57.9,42.1,0,0
"2299",6,20,4,2007,1402,53.3,36.4,1023.7,10,5,11.1,66,39,0,0
"2300",7,21,4,2007,1280,59.7,36.5,1022.5,10,6.3,13,75.9,44.1,0,0
"2301",1,22,4,2007,1275,69.8,42.1,1015.4,10,11.5,20,82.9,57.9,0,0
"2302",2,23,4,2007,1294,68.2,49.2,1009.9,10,16,19,78.1,55.9,0,0
"2303",3,24,4,2007,1179,57.9,41.6,1018.5,10,6.8,15,66.9,50,0,0
"2304",4,25,4,2007,1074,49.2,46.1,1014.5,6.1,15.4,22,55.9,46.4,1.18,0
"2305",5,26,4,2007,1038,50.4,48.1,1008.2,4.2,8,12,60.8,44.6,0.47,0
"2306",6,27,4,2007,1289,48.3,44.3,1008.2,5.2,8.5,11.1,54,44.6,0.67,0
"2307",7,28,4,2007,1318,55.2,43.3,1012.4,8.7,7.2,18.1,72,39.9,0.02,0
"2308",1,29,4,2007,1174,65.3,43.3,1014.8,10,8.4,15.9,81,48,0,0
"2309",2,30,4,2007,1239,63.2,45.2,1013.5,9.8,11.1,22,79,51.1,0.2,0
"2310",3,1,5,2007,1417,63.5,49.5,1009.9,10,9.6,19,84,51.1,0.03,0
"2311",4,2,5,2007,1280,54.1,44.2,1016.7,8.6,10.9,17.1,60.1,48,0,0
"2312",5,3,5,2007,1277,54.3,40.7,1020.6,9.3,10.3,15.9,66.9,43,0,0
"2313",6,4,5,2007,1355,58.6,39.6,1018,10,9.6,14,66.9,51.1,0,0
"2314",7,5,5,2007,1239,61.6,40.6,1017.1,10,9.7,15,66,55.9,0,0
"2315",1,6,5,2007,1142,59.2,32.1,1025.4,10,12.4,17.1,68,52,0,0
"2316",2,7,5,2007,1306,64.1,33,1022,10,9.8,15,84,50,0,0
"2317",3,8,5,2007,1286,72.5,57.2,1016.7,9,5.4,9.9,82,60.1,0,0
"2318",4,9,5,2007,1353,69.5,59.4,1013.9,7.6,5.3,12,75.9,64,0.02,0
"2319",5,10,5,2007,1332,70.8,53.8,1012.9,9,3.6,12,82.9,59,0,0
"2320",6,11,5,2007,1322,63.4,47.3,1015.1,9.8,8.4,22,75.9,55.9,0,0
"2321",7,12,5,2007,1213,54.7,37.4,1021.2,10,12.2,17.1,64.9,46.9,0,0
"2322",1,13,5,2007,1111,55.2,31.3,1025.2,10,6.9,15.9,69.1,44.1,0,0
"2323",2,14,5,2007,1346,70.7,39.9,1017.3,10,11.8,20,90,57.9,0,0
"2324",3,15,5,2007,1334,74.2,55.8,1010.3,9.1,10.7,17.1,84.9,57.2,0,0
"2325",4,16,5,2007,1262,54,46.4,1015.5,7.1,9.5,18.1,64,48,0.65,0
"2326",5,17,5,2007,1318,50.4,35.1,1023.8,10,12.6,15.9,61,44.1,0.02,0
"2327",6,18,5,2007,1377,56.9,29.9,1026,10,3.7,11.1,70,42.8,0,0
"2328",7,19,5,2007,1277,66.9,34.3,1020.1,10,9.5,15,80.1,55.9,0,0
"2329",1,20,5,2007,1165,55.5,41.8,1017.8,9.9,8.8,15,77,46,0,0
"2330",2,21,5,2007,1261,58.6,47.6,1018.7,9.6,6.7,13,79,44.1,0.02,0
"2331",3,22,5,2007,1303,74.3,44.8,1017.2,10,8.9,15.9,87.1,60.1,0,0
"2332",4,23,5,2007,1360,77.7,47.4,1018.6,9.4,9.6,18.1,89.1,66,0,0
"2333",5,24,5,2007,1397,79.2,50.6,1019.5,7.5,12.7,24.1,88,70,0,0
"2334",6,25,5,2007,1418,63.8,50,1023.1,9.8,8.4,15.9,82.9,57.2,0.09,0
"2335",7,26,5,2007,1130,58.7,49.5,1021.6,8.6,6.2,8.9,70,50,0.06,0
"2336",1,27,5,2007,1231,66.6,54,1016.9,9.3,8.4,13,75,62.1,0.29,0
"2337",2,28,5,2007,1298,66.4,46.5,1020.5,10,5,11.1,75.9,54,0.01,0
"2338",3,29,5,2007,1396,74.6,57.6,1019.8,7,6,8.9,88,64,0,0
"2339",4,30,5,2007,1358,79.8,56.8,1017.2,7.5,8.4,15.9,89.1,70,0,0
"2340",5,31,5,2007,1229,74.5,59.8,1015.6,7.1,8.8,17.1,86,68,0.01,0
"2341",6,1,6,2007,1581,72.8,63.4,1013.9,7.6,5.6,9.9,84.9,66.2,0.52,0
"2342",7,2,6,2007,1327,74.1,63.6,1009,8.9,6.5,15,81,68,0.21,0
"2343",1,3,6,2007,1231,72.2,60.7,1001.9,8.8,6.3,15,77,66,0.32,0
"2344",2,4,6,2007,1184,65.1,57.9,997.6,9.7,8.9,18.1,75,61,0.24,0
"2345",3,5,6,2007,1185,58.6,49.9,1006.9,9.6,7.5,13,64,53.1,0.33,0
"2346",4,6,6,2007,1248,59.5,43.6,1012.2,10,7.4,13,73,48,0,0
"2347",5,7,6,2007,1257,79.3,59.4,1001.5,10,17.1,22.9,91.9,71.1,0,0
"2348",6,8,6,2007,1322,76.5,58.8,1005.9,10,13.7,19,88,68,0,0
"2349",7,9,6,2007,1270,68.3,47.5,1018.6,10,4.6,8.9,79,57,0,0
"2350",1,10,6,2007,1232,71.2,50.2,1017.2,10,4.7,11.1,81,61,0,0
"2351",2,11,6,2007,1302,75,51.2,1018.4,10,6.3,11.1,84.9,64.9,0,0
"2352",3,12,6,2007,1288,74.2,51.8,1020.8,10,8.9,14,82,66.9,0,0
"2353",4,13,6,2007,1291,75,52.1,1019.5,9.9,7.5,14,86,66,0,0
"2354",5,14,6,2007,1321,77.8,53.5,1015.8,10,6.1,13,89.1,68,0,0
"2355",6,15,6,2007,1458,78.5,55.7,1015.2,9.8,4,12,89.1,66.9,0,0
"2356",7,16,6,2007,1331,79.9,58.2,1014.5,8.8,5.2,13,91.9,68,0,0
"2357",1,17,6,2007,1298,80.5,64.5,1014.2,6.3,4.9,18.1,91,71.1,0,0
"2358",2,18,6,2007,1326,80.3,64.1,1011,8,9.3,19,89.1,73.9,0.16,0
"2359",3,19,6,2007,1279,75,60.1,1011.3,8.5,11.4,17.1,80.1,69.8,0.95,0
"2360",4,20,6,2007,1371,73.1,48.6,1019.3,10,6.3,11.1,84.9,62.1,0.93,0
"2361",5,21,6,2007,1365,74.4,54.1,1018,10,8.3,13,82,68,0,0
"2362",6,22,6,2007,1387,69,46.9,1018.2,10,7,13,75,62.1,0,0
"2363",7,23,6,2007,1216,64.9,57.6,1014.9,8.4,6.5,11.1,69.1,61,0,0
"2364",1,24,6,2007,1295,67.8,61.2,1014.1,7.4,5.5,9.9,75,64,0.27,0
"2365",2,25,6,2007,1273,75.3,66.3,1017.3,5.4,5.2,11.1,86,66.9,0,0
"2366",3,26,6,2007,1200,79.2,69.4,1019.3,7.5,6.9,19,91,73,0,0
"2367",4,27,6,2007,1300,78,69.7,1016.7,8.8,8,27,89.1,71.1,0,0
"2368",5,28,6,2007,1273,70.2,59.7,1017.1,10,10.5,17.1,75.9,64,0.35,0
"2369",6,29,6,2007,1335,64,54.3,1019.9,10,8.6,12,71.6,55.9,0,0
"2370",7,30,6,2007,1248,67.7,51.3,1019.7,10,4.9,11.1,77,57.9,0,0
"2371",1,1,7,2007,1509,69.3,50.6,1021.9,10,8.1,13,75.9,63,0,0
"2372",2,2,7,2007,1298,67.5,49.9,1023.8,10,7.5,11.1,77,57.9,0,0
"2373",3,3,7,2007,1228,72.6,52.9,1019.3,10,6,12,82.9,63,0,0
"2374",4,4,7,2007,1301,75,64.7,1012,9.3,8.9,17.1,84,66.2,0.75,0
"2375",5,5,7,2007,1364,78.2,62.6,1012.6,8,5.5,15.9,88,70,0.66,0
"2376",6,6,7,2007,1353,76.9,57.3,1015.9,10,5.2,11.1,84.9,68,0,0
"2377",7,7,7,2007,1324,78.4,58.2,1014,10,5.9,13,88,68,0,0
"2378",1,8,7,2007,1270,83.5,67.7,1008,10,11.1,20,93,75,0,0
"2379",2,9,7,2007,1276,81.2,66.7,1008.3,9.7,7.5,15.9,93,73,0,0
"2380",3,10,7,2007,1298,77,68,1008.4,9.6,8.9,26,87.1,71.6,0.24,0
"2381",4,11,7,2007,1274,70.8,52.9,1011.4,10,10,15,77,63,0.08,0
"2382",5,12,7,2007,1395,71,51.1,1013.4,10,10.5,18.1,80.1,60.1,0,0
"2383",6,13,7,2007,1369,68.9,52.5,1015,10,5.4,12,77,59,0,0
"2384",7,14,7,2007,1266,72.2,54.1,1009.7,10,11,20,84.9,62.1,0,0
"2385",1,15,7,2007,1318,72.1,52.2,1010.9,10,6.4,11.1,82,64,0,0
"2386",2,16,7,2007,1220,74.1,57.2,1013.7,10,6.4,11.1,82,66,0,0
"2387",3,17,7,2007,1326,74.5,65,1012.4,9.3,6,9.9,82.9,69.1,0.07,0
"2388",4,18,7,2007,1346,76.8,67.7,1011.3,9.7,8.7,17.1,84.9,69.1,0.01,0
"2389",5,19,7,2007,1272,73.5,66.8,1009.8,7.6,11,21,82.9,69.8,0.91,0
"2390",6,20,7,2007,1388,67.7,52.2,1019.3,10,11.7,15.9,73.9,62.1,0.01,0
"2391",7,21,7,2007,1352,67.3,51.3,1022.6,10,7,11.1,75,57.9,0,0
"2392",1,22,7,2007,1365,70.9,53.5,1023.2,10,4,7,81,61,0,0
"2393",2,23,7,2007,1250,73.5,54.3,1019.8,10,3.1,9.9,82,63,0,0
"2394",3,24,7,2007,1347,73.7,57.4,1017,10,3.8,8.9,82,64.9,0,0
"2395",4,25,7,2007,1345,76.3,59.3,1016.2,10,5.3,11.1,82.9,70,0,0
"2396",5,26,7,2007,1315,74,63.3,1013.4,8.2,9.1,27,84,64,0,0
"2397",6,27,7,2007,1391,76.8,68,1009,7.3,6.1,8.9,82.9,71.1,0.89,0
"2398",7,28,7,2007,1365,73.6,66.2,1011.8,7.5,10.1,14,79,69.8,0.03,0
"2399",1,29,7,2007,1303,75.3,57.7,1014.7,10,6.8,12,84.9,66.9,0,0
"2400",2,30,7,2007,1316,77,56.1,1016.1,10,4.4,11.1,86,64.9,0,0
"2401",3,31,7,2007,1251,80.4,58.9,1016.9,10,4.4,9.9,89.1,69.1,0,0
"2402",4,1,8,2007,1559,81.8,62,1015.6,9.6,2.7,8.9,91,69.1,0,0
"2403",5,2,8,2007,1274,83,65.2,1014.2,9.3,5.8,14,91,73,0,0
"2404",6,3,8,2007,1328,81.5,60.1,1014.9,9.7,5.6,11.1,88,73,0,0
"2405",7,4,8,2007,1260,75.1,57.4,1017,10,4.6,9.9,81,68,0,0
"2406",1,5,8,2007,1244,75.7,67.9,1010.2,7.4,9.5,18.1,88,68,0.32,0
"2407",2,6,8,2007,1266,79,72.5,1009,7.5,4.8,8,84.9,75,0.67,0
"2408",3,7,8,2007,1272,81.5,72.7,1007.5,9.1,7.5,21,91.9,73,0.11,0
"2409",4,8,8,2007,1293,80.5,72.6,1008.8,9.3,5.6,17.1,89.1,75,0.09,0
"2410",5,9,8,2007,1283,77.5,70.3,1009.3,8.2,5.6,13,84.9,73,0.46,0
"2411",6,10,8,2007,1383,78.9,69.8,1012.9,9.5,5,8.9,86,73,0,0
"2412",7,11,8,2007,1323,79.1,64.8,1016,9.2,3,9.9,88,68,0,0
"2413",1,12,8,2007,1276,79.1,66.2,1016.5,9.7,6.2,28,87.1,68,0.23,0
"2414",2,13,8,2007,1355,76.5,57.2,1019.1,10,6.4,14,82.9,72,0,0
"2415",3,14,8,2007,1356,73.5,62.1,1014.1,9.5,7.9,19,82.9,64.4,0.27,0
